施設名,住所,電話番号(代表),geocodes
グリーンベア・ベイサイド,〒273-0005千葉県船橋市本町6-8-36,047-460-1255,"{'northeast': {'lat': 35.7066708302915, 'lng': 139.9869966802915}, 'southwest': {'lat': 35.7039728697085, 'lng': 139.9842987197085}}"
保育ステーション　ハミングバード　※令和3年4月1日 小規模保育事業へ移行予定,〒274-0063千葉県船橋市習志野台3-1-1 EKITA KITANARA 3F,047-401-4795,"{'northeast': {'lat': 35.72264098029149, 'lng': 140.0435469802915}, 'southwest': {'lat': 35.7199430197085, 'lng': 140.0408490197085}}"
キッズサポート　かむ　※令和3年3月31日 廃止予定,〒273-0003　船橋市宮本2-9-1 第二ときわビル2階,047-425-4300,"{'northeast': {'lat': 35.69606178029151, 'lng': 139.9932237802915}, 'southwest': {'lat': 35.69336381970851, 'lng': 139.9905258197085}}"
